filename,file_path,pdf_url,source_url,download_date,status,title,author,subject,keywords,creator,producer,creationDate,modDate
2016-14_Wills_v_MetroAtlanta.pdf,files/www.pcahistory.org_pca_sjc_2015-2019.html/2016-14_Wills_v_MetroAtlanta.pdf,https://www.pcahistory.org/pca/sjc/cases/2016-14_Wills_v_MetroAtlanta.pdf,https://www.pcahistory.org/pca/sjc/2015-2019.html,2025-07-12T14:19:50.962565,downloaded,,https://www.pcahistory.org/pca/sjc/cases/2016-14_Wills_v_MetroAtlanta.pdf,Downloaded from https://www.pcahistory.org/pca/sjc/2015-2019.html,web_scraper_download,Acrobat PDFMaker 11 for Word,Adobe PDF Library 11.0,D:20240507092752-05'00',D:20240507092818-05'00'
aiscwim2001.pdf,files/www.pcahistory.org_pca_digest_index.html/aiscwim2001.pdf,https://www.pcahistory.org/pca/digest/studies/aiscwim2001.pdf,https://www.pcahistory.org/pca/digest/index.html,2025-07-12T14:19:52.412586,downloaded,,https://www.pcahistory.org/pca/digest/studies/aiscwim2001.pdf,Downloaded from https://www.pcahistory.org/pca/digest/index.html,web_scraper_download,,ABBYY FineReader 11,D:20210428112008-05'00',D:20210428114457-05'00'
3-465.pdf,files/www.pcahistory.org_pca_digest_index.html/3-465.pdf,https://pcahistory.org/pca/digest/studies/3-465.pdf,https://www.pcahistory.org/pca/digest/index.html,2025-07-12T14:19:52.973906,downloaded,,https://pcahistory.org/pca/digest/studies/3-465.pdf,Downloaded from https://www.pcahistory.org/pca/digest/index.html,web_scraper_download,ScandAll PRO V1.7 Update 3,Adobe Acrobat 9.55 Paper Capture Plug-in,D:20190829133820-05'00',D:20190829134849-05'00'
2022-06_Biese_v_TNValley.pdf,files/www.pcahistory.org_pca_sjc_2020-2024.html/2022-06_Biese_v_TNValley.pdf,https://www.pcahistory.org/pca/sjc/cases/2022-06_Biese_v_TNValley.pdf,https://www.pcahistory.org/pca/sjc/2020-2024.html,2025-07-12T14:19:53.116351,downloaded,,https://www.pcahistory.org/pca/sjc/cases/2022-06_Biese_v_TNValley.pdf,Downloaded from https://www.pcahistory.org/pca/sjc/2020-2024.html,web_scraper_download,Microsoft® Word for Microsoft 365,Microsoft® Word for Microsoft 365,D:20240502091347-05'00',D:20240502091415-05'00'
Traylor_Terry_1949-2013.pdf,files/www.pcahistory.org_obits_index.html/Traylor_Terry_1949-2013.pdf,https://www.pcahistory.org/obits/Traylor_Terry_1949-2013.pdf,https://www.pcahistory.org/obits/index.html,2025-07-12T14:19:54.281942,downloaded,,https://www.pcahistory.org/obits/Traylor_Terry_1949-2013.pdf,Downloaded from https://www.pcahistory.org/obits/index.html,web_scraper_download,,Adobe Acrobat 9.55 Paper Capture Plug-in,D:20210506145654-05'00',D:20210506145712-05'00'
16th_pcaga_1988.pdf,files/www.pcahistory.org_pca_ga_index.html/16th_pcaga_1988.pdf,https://www.pcahistory.org/pca/ga/16th_pcaga_1988.pdf,https://www.pcahistory.org/pca/ga/index.html,2025-07-12T14:20:02.072844,downloaded,,https://www.pcahistory.org/pca/ga/16th_pcaga_1988.pdf,Downloaded from https://www.pcahistory.org/pca/ga/index.html,web_scraper_download,,ABBYY FineReader 11,D:20140121235626Z,D:20141205122649-06'00'
Leonard_Bronwyn_R_1943-1996.pdf,files/www.pcahistory.org_obits_index.html/Leonard_Bronwyn_R_1943-1996.pdf,https://www.pcahistory.org/obits/Leonard_Bronwyn_R_1943-1996.pdf,https://www.pcahistory.org/obits/index.html,2025-07-12T14:20:02.460005,downloaded,,https://www.pcahistory.org/obits/Leonard_Bronwyn_R_1943-1996.pdf,Downloaded from https://www.pcahistory.org/obits/index.html,web_scraper_download,,EPSON Scan,D:20210508115212-05'00',D:20210508121606-05'00'
1983-13_Codling_v_ECanada.pdf,files/www.pcahistory.org_pca_sjc_1975-1984.html/1983-13_Codling_v_ECanada.pdf,https://www.pcahistory.org/pca/sjc/cases/1983-13_Codling_v_ECanada.pdf,https://www.pcahistory.org/pca/sjc/1975-1984.html,2025-07-12T14:20:02.873677,downloaded,,https://www.pcahistory.org/pca/sjc/cases/1983-13_Codling_v_ECanada.pdf,Downloaded from https://www.pcahistory.org/pca/sjc/1975-1984.html,web_scraper_download,,ABBYY FineReader 11,D:20160609145045-05'00',D:20160609145130-05'00'
2009-06_Bordwine_v_PacificNW.pdf,files/www.pcahistory.org_pca_sjc_2005-2014.html/2009-06_Bordwine_v_PacificNW.pdf,https://www.pcahistory.org/pca/sjc/cases/2009-06_Bordwine_v_PacificNW.pdf,https://www.pcahistory.org/pca/sjc/2005-2014.html,2025-07-12T14:20:03.101329,downloaded,Microsoft Word - 001 TOC & Moderators 2010.doc,https://www.pcahistory.org/pca/sjc/cases/2009-06_Bordwine_v_PacificNW.pdf,Downloaded from https://www.pcahistory.org/pca/sjc/2005-2014.html,web_scraper_download,PScript5.dll Version 5.2,Acrobat Distiller 8.0.0 (Windows),D:20240507114843-05'00',D:20240507114912-05'00'
2011-14_Reese&Bech_v_Philadelphia.pdf,files/www.pcahistory.org_pca_sjc_2005-2014.html/2011-14_Reese&Bech_v_Philadelphia.pdf,https://www.pcahistory.org/pca/sjc/cases/2011-14_Reese&Bech_v_Philadelphia.pdf,https://www.pcahistory.org/pca/sjc/2005-2014.html,2025-07-12T14:20:03.250134,downloaded,,https://www.pcahistory.org/pca/sjc/cases/2011-14_Reese&Bech_v_Philadelphia.pdf,Downloaded from https://www.pcahistory.org/pca/sjc/2005-2014.html,web_scraper_download,Adobe Acrobat Pro 11.0.9,Adobe Acrobat Pro 11.0.9,D:20240508111922-05'00',D:20240508112007-05'00'
36thGA_2008_Actions.pdf,files/www.pcahistory.org_pca_ga_index.html/36thGA_2008_Actions.pdf,https://www.pcahistory.org/pca/ga/actions/36thGA_2008_Actions.pdf,https://www.pcahistory.org/pca/ga/index.html,2025-07-12T14:20:03.465520,downloaded,,https://www.pcahistory.org/pca/ga/actions/36thGA_2008_Actions.pdf,Downloaded from https://www.pcahistory.org/pca/ga/index.html,web_scraper_download,ScandAll PRO V1.7 Update 3,Adobe Acrobat 9.55 Paper Capture Plug-in,D:20141205144901-06'00',D:20141205145014-06'00'
JandR.pdf,files/www.pcahistory.org_pca_ga_audio_1982_1982index.html/JandR.pdf,https://www.pcahistory.org/mo/schaeffer/JandR.pdf,https://www.pcahistory.org/pca/ga/audio/1982/1982index.html,2025-07-12T14:20:03.947343,downloaded,A Day of Sober Rejoicing,https://www.pcahistory.org/mo/schaeffer/JandR.pdf,Downloaded from https://www.pcahistory.org/pca/ga/audio/1982/1982index.html,web_scraper_download,Acrobat PDFMaker 5.0 for Word,Acrobat Distiller 5.0 (Windows),D:20010802235209-05'00',D:20010802235427-04'00'
1st_pcaga_1973.pdf,files/www.pcahistory.org_pca_ga_index.html/1st_pcaga_1973.pdf,https://www.pcahistory.org/pca/ga/1st_pcaga_1973.pdf,https://www.pcahistory.org/pca/ga/index.html,2025-07-12T14:20:07.581240,downloaded,,https://www.pcahistory.org/pca/ga/1st_pcaga_1973.pdf,Downloaded from https://www.pcahistory.org/pca/ga/index.html,web_scraper_download,,ABBYY FineReader 11,D:20140121080556Z,D:20140809170104-04'00'
mcconkeyprayer.pdf,files/www.pcahistory.org_HCLibrary_articles_index.html/mcconkeyprayer.pdf,https://www.pcahistory.org/documents/mcconkeyprayer.pdf,https://www.pcahistory.org/HCLibrary/articles/index.html,2025-07-12T14:20:07.741341,downloaded,Prayer,https://www.pcahistory.org/documents/mcconkeyprayer.pdf,Downloaded from https://www.pcahistory.org/HCLibrary/articles/index.html,web_scraper_download,Acrobat PDFMaker 5.0 for Word,Acrobat Distiller 5.0 (Windows),D:20011107143946-07'00',D:20011107144330-07'00'
2004-03_Harris_v_Heritage.pdf,files/www.pcahistory.org_pca_sjc_1995-2004.html/2004-03_Harris_v_Heritage.pdf,https://www.pcahistory.org/pca/sjc/cases/2004-03_Harris_v_Heritage.pdf,https://www.pcahistory.org/pca/sjc/1995-2004.html,2025-07-12T14:20:07.943662,downloaded,Microsoft Word - 000 Cover 8-30.doc,https://www.pcahistory.org/pca/sjc/cases/2004-03_Harris_v_Heritage.pdf,Downloaded from https://www.pcahistory.org/pca/sjc/1995-2004.html,web_scraper_download,PScript5.dll Version 5.2.2,Acrobat Distiller 5.0.5 (Windows),D:20160617151814-05'00',D:20160617151924-05'00'
Rose-1950-InfantBaptism.pdf,files/www.pcahistory.org_topical_index.html/Rose-1950-InfantBaptism.pdf,https://www.pcahistory.org/documents/Rose-1950-InfantBaptism.pdf,https://www.pcahistory.org/topical/index.html,2025-07-12T14:20:08.282952,downloaded,The Baptism of Infants: Its Meaning and Its Authority,https://www.pcahistory.org/documents/Rose-1950-InfantBaptism.pdf,Downloaded from https://www.pcahistory.org/topical/index.html,web_scraper_download,ScandAll PRO V1.7 Update 3,Adobe Acrobat 9.46 Paper Capture Plug-in,D:20111014132258-05'00',D:20111014132634-05'00'
9-1-4.pdf,files/www.pcahistory.org_HCLibrary_articles_index.html/9-1-4.pdf,https://www.pcahistory.org/HCLibrary/periodicals/spr/v09/9-1-4.pdf,https://www.pcahistory.org/HCLibrary/articles/index.html,2025-07-12T14:20:08.461263,downloaded,Success in the Ministry,https://www.pcahistory.org/HCLibrary/periodicals/spr/v09/9-1-4.pdf,Downloaded from https://www.pcahistory.org/HCLibrary/articles/index.html,web_scraper_download,Acrobat PDFMaker 5.0 for Word,Acrobat Distiller 5.0 (Windows),D:20030517141614-05'00',D:20030517141632-04'00'
2007-14_PCA_v_Louisiana.pdf,files/www.pcahistory.org_pca_sjc_2005-2014.html/2007-14_PCA_v_Louisiana.pdf,https://www.pcahistory.org/pca/sjc/cases/2007-14_PCA_v_Louisiana.pdf,https://www.pcahistory.org/pca/sjc/2005-2014.html,2025-07-12T14:20:08.641362,downloaded,Microsoft Word - 000 Cover.doc,https://www.pcahistory.org/pca/sjc/cases/2007-14_PCA_v_Louisiana.pdf,Downloaded from https://www.pcahistory.org/pca/sjc/2005-2014.html,web_scraper_download,PScript5.dll Version 5.2.2,Acrobat Distiller 8.1.0 (Windows),D:20240507110535-05'00',D:20240507110558-05'00'
3-025.pdf,files/www.pcahistory.org_pca_digest_index.html/3-025.pdf,https://www.pcahistory.org/pca/digest/studies/3-025.pdf,https://www.pcahistory.org/pca/digest/index.html,2025-07-12T14:20:09.298775,downloaded,Assembly Actions on the Matter of Homosexuality,https://www.pcahistory.org/pca/digest/studies/3-025.pdf,Downloaded from https://www.pcahistory.org/pca/digest/index.html,web_scraper_download,Acrobat PDFMaker 5.0 for Word,Acrobat Distiller 5.0 (Windows),D:20030822170004-05'00',D:20030822170011-04'00'
